CTSL,HDR_XT,DVALTIME,XA32S19,YA32S19,ZA32S19,XVELS15,YVELS15,ZVELS15,LAT,LONG,TRKQ,TRRKQ,MUTRK,LR,TT,STN,CGTN,ID,CATE,CSOURCE,RPRTCTSL,RPRTPU,RSOURCE,TRKST,CEPN,CECUID,ONAME,SNAME,M1,M2,M3,M4,Altitude,Size,,
73,63719.536,63718.595,57.07593,-10.761904,4.290751,0.10916,-0.00339,-0.00241,36.587222,-74.389976,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9546.517983,1,WGSLLA,PETARC
73,63719.736,63719.586,57.183674,-10.765791,4.286545,0.10928,-0.00345,-0.00269,36.587136,-74.387777,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9541.652039,1,WGSLLA,PETARC
73,63720.781,63720.585,57.292072,-10.767612,4.281975,0.10934,-0.0032,-0.00299,36.587084,-74.385535,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9536.0735,1,WGSLLA,PETARC
73,63721.269,63720.585,57.292072,-10.767612,4.281975,0.10934,-0.0032,-0.00299,36.587084,-74.385535,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9536.0735,1,WGSLLA,PETARC
73,63721.843,63721.568,57.399067,-10.770803,4.284182,0.10944,-0.0032,-0.00217,36.58701,-74.383353,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9544.016215,1,WGSLLA,PETARC
73,63722.531,63721.568,57.399067,-10.770803,4.284182,0.10944,-0.0032,-0.00217,36.58701,-74.383283,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9544.016215,1,WGSLLA,PETARC
73,63722.634,63722.553,57.505178,-10.772099,4.28994,0.10938,-0.00293,-0.00092,36.586968,-74.38112,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9559.025676,1,WGSLLA,PETARC
73,63723.831,63723.537,57.612392,-10.773911,4.288311,0.10947,-0.00278,-0.00101,36.586917,-74.378933,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9559.309183,1,WGSLLA,PETARC
73,63724.904,63724.521,57.718639,-10.775816,4.292528,0.10944,-0.00266,-0.00018,36.586864,-74.376737,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9571.25827,1,WGSLLA,PETARC
73,63725.821,63725.505,57.826097,-10.772936,4.28937,0.10959,-0.00177,-0.00064,36.58689,-74.374513,10,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9568.476325,1,WGSLLA,PETARC
73,63726.615,63726.49,57.932421,-10.773245,4.286398,0.10953,-0.00156,-0.00101,36.586863,-74.372302,10,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9566.055099,1,WGSLLA,PETARC
73,63727.676,63727.474,58.037725,-10.781956,4.284237,0.10934,-0.00269,-0.00119,36.586698,-74.370125,10,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9565.28028,1,WGSLLA,PETARC
73,63728.756,63728.463,58.145889,-10.784729,4.278181,0.10953,-0.00269,-0.00195,36.58663,-74.367917,10,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9556.781278,1,WGSLLA,PETARC
73,63729.518,63728.463,58.145889,-10.784729,4.278181,0.10953,-0.00269,-0.00195,36.58663,-74.367887,10,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9556.781278,1,WGSLLA,PETARC
73,63729.559,63729.442,58.252718,-10.789259,4.272781,0.10962,-0.00296,-0.0025,36.586534,-74.365707,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9549.567203,1,WGSLLA,PETARC
73,63729.857,63729.442,58.252718,-10.789259,4.272781,0.10962,-0.00296,-0.0025,36.586534,-74.365707,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9549.567203,1,WGSLLA,PETARC
73,63730.621,63730.427,58.358225,-10.804731,4.27091,0.10944,-0.00497,-0.00241,36.586257,-74.363527,10,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9549.440423,1,WGSLLA,PETARC
73,63731.681,63731.415,58.465141,-10.817488,4.264219,0.10944,-0.00623,-0.00308,36.586025,-74.361307,10,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9539.711786,1,WGSLLA,PETARC
73,63732.411,63731.415,58.465141,-10.817488,4.264219,0.10944,-0.00623,-0.00308,36.586025,-74.361277,10,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9539.711786,1,WGSLLA,PETARC
73,63732.475,63732.398,58.574106,-10.815779,4.257811,0.10983,-0.00497,-0.0036,36.586031,-74.359051,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9530.534404,1,WGSLLA,PETARC
73,63733.676,63733.382,58.680153,-10.827976,4.260004,0.10971,-0.00613,-0.00269,36.585809,-74.356891,10,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9538.551834,1,WGSLLA,PETARC
73,63734.575,63734.37,58.78726,-10.846331,4.257847,0.10971,-0.00809,-0.00262,36.585484,-74.35468,10,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9537.951055,1,WGSLLA,PETARC
73,63735.646,63735.37,58.893009,-10.867085,4.259422,0.10928,-0.01007,-0.00198,36.585121,-74.352498,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9544.78917,1,WGSLLA,PETARC
73,63736.106,63735.37,58.893009,-10.867085,4.259422,0.10928,-0.01007,-0.00198,36.585121,-74.352458,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9544.78917,1,WGSLLA,PETARC
