STD PET CSV
CTSL,HDR_XT,DVALTIME,XA32S19,YA32S19,ZA32S19,XVELS15,YVELS15,ZVELS15,LAT,LONG,TRKQ,TRRKQ,MUTRK,LR,TT,LTN,CGTN,ID,CATE,CSOURCE,RPRTCTSL,RPRTPU,RSOURCE,TRKST,CEPN,CECUID,ONAME,SNAME,M1,M2,M3,M4,Altitude,Size,Geometry,File Type,Special Point Type,Platform,Activity,Spec Type,STN
900,63532.000,63532.000,13.950249,-1.618057,4.603441,-0.093022,0.006505,0.000000,36.667000,-74.180000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9263.296333,0,WGSLLA,PETARC,0,0,0,0,0
900,63543.000,63543.000,13.167068,-1.620318,4.602689,-0.095426,-0.003332,0.000000,36.667000,-74.196000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9255.720000,0,WGSLLA,PETARC,0,0,0,0,0
900,63553.000,63553.000,11.992457,-1.684159,4.602012,-0.097204,-0.005094,0.000000,36.666000,-74.220000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9245.974333,0,WGSLLA,PETARC,0,0,0,0,0
900,63558.000,63558.000,11.454186,-1.746202,4.608080,-0.098238,-0.005148,0.000000,36.665000,-74.231000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9254.561000,0,WGSLLA,PETARC,0,0,0,0,0
900,63573.000,63573.000,10.034842,-1.810157,4.631754,-0.099329,-0.006946,0.000000,36.664000,-74.260000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9293.252000,0,WGSLLA,PETARC,0,0,0,0,0
900,63595.000,63595.000,7.832402,-1.996442,4.646379,-0.101721,-0.007113,0.000000,36.661000,-74.305000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9311.450667,0,WGSLLA,PETARC,0,0,0,0,0
900,63617.000,63617.000,5.482841,-2.121173,4.659874,-0.104442,-0.005474,0.000000,36.659000,-74.353000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9329.641333,0,WGSLLA,PETARC,0,0,0,0,0
900,63633.000,63633.000,4.112203,-2.183279,4.676757,-0.105422,-0.005525,0.000000,36.658000,-74.381000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9359.722333,0,WGSLLA,PETARC,0,0,0,0,0
900,63648.000,63648.000,2.545701,-2.245103,4.702934,-0.105502,-0.003684,0.000000,36.657000,-74.413000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9409.172667,0,WGSLLA,PETARC,0,0,0,0,0
900,63674.000,63674.000,0.244873,-4.066678,4.694095,-0.022223,-0.114327,0.000000,36.627000,-74.460000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9392.967000,0,WGSLLA,PETARC,0,0,0,0,0
